name,category,calories,protein
Apple,Fruit,52,0.3
Banana,Fruit,89,1.1
Orange,Fruit,47,0.9
Mango,Fruit,60,0.8
Pineapple,Fruit,50,0.5
Grapes,Fruit,69,0.7
Papaya,Fruit,43,0.5
Watermelon,Fruit,30,0.6
Strawberry,Fruit,33,0.8
Blueberry,Fruit,57,0.7
Carrot,Vegetable,41,0.9
Broccoli,Vegetable,34,2.8
Spinach,Vegetable,23,2.9
Tomato,Vegetable,18,0.9
Potato,Vegetable,77,2.0
Cabbage,Vegetable,25,1.3
Onion,Vegetable,40,1.1
Garlic,Vegetable,149,6.4
Peas,Vegetable,81,5.4
Cauliflower,Vegetable,25,1.9
Chicken Breast,Meat,165,31.0
Beef,Meat,250,26.0
Pork,Meat,242,25.0
Lamb,Meat,294,25.6
Turkey,Meat,189,29.0
Duck,Meat,337,27.0
Goat Meat,Meat,122,20.6
Bacon,Meat,541,37.0
Sausage,Meat,301,12.0
Ham,Meat,145,21.0
Milk,Dairy,42,3.4
Cheese,Dairy,402,25.0
Yogurt,Dairy,59,10.0
Butter,Dairy,717,0.9
Paneer,Dairy,265,18.0
Curd,Dairy,61,3.1
Cream,Dairy,340,2.1
Kefir,Dairy,41,3.5
Ice Cream,Dairy,207,3.5
Condensed Milk,Dairy,321,7.9
Green Tea,Beverage,0,0.0
Black Coffee,Beverage,2,0.3
Orange Juice,Beverage,45,0.7
Apple Juice,Beverage,46,0.1
Milkshake,Beverage,120,3.5
Smoothie,Beverage,90,1.0
Soda,Beverage,41,0.0
Energy Drink,Beverage,45,0.0
Beer,Beverage,43,0.5
Wine,Beverage,85,0.1
Boiled Egg,Egg,155,13.0
Fried Egg,Egg,196,13.6
Scrambled Egg,Egg,148,13.0
Omelette,Egg,154,13.2
Egg White,Egg,52,11.0
Egg Yolk,Egg,322,15.9
Duck Egg,Egg,185,13.0
Quail Egg,Egg,158,13.0
Poached Egg,Egg,143,12.5
Raw Egg,Egg,143,12.6
Banana Var 1,Fruit,93.5,1.2
Orange Var 1,Fruit,49.4,0.9
Mango Var 1,Fruit,63.0,0.8
Pineapple Var 1,Fruit,52.5,0.5
